info,tamanhos,u64,8
info,tamanhos,Option<u64>,16
info,tamanhos,&u64,8
info,tamanhos,Option<&u64>,8
info,tamanhos,Box<u64>,8
info,tamanhos,Option<Box<u64>>,8
info,tamanhos,NonZeroU64,8
info,tamanhos,Option<NonZeroU64>,8
info,tamanhos,Vec<u64>,24
info,tamanhos,Box<[u64]>,16
info,tamanhos,String,24
info,tamanhos,Box<str>,16
info,tamanhos,enum_variante_grande_inline,257
info,tamanhos,enum_variante_grande_em_box,16
resultado,tamanhos,unico,0,0.0,2
info,vec_crescimento,capacidade_final,134217728
resultado,vec_crescimento,push,100000000,385.5,765
info,vec_crescimento,capacidade_final,100000000
resultado,vec_crescimento,with_capacity,100000000,357.3,765
info,string_concat,bytes_finais,588890
resultado,string_concat,format_reconstroi,100000,11820.9,3
info,string_concat,bytes_finais,588890
resultado,string_concat,push_str,100000,3.9,3
info,string_concat,bytes_finais,588890
resultado,string_concat,write_capacidade,100000,5.4,2
resultado,produto_escalar,indexado,100000000,84.0,765
resultado,produto_escalar,zip,100000000,81.3,765
resultado,ordenar,sort,50000000,3678.5,574
resultado,ordenar,sort_unstable,50000000,2355.1,383
resultado,mapa_insercao,hashmap_novo,10000000,1663.8,486
resultado,mapa_insercao,hashmap_capacidade,10000000,1304.4,350
resultado,mapa_insercao,btreemap,10000000,7197.9,355
resultado,clone_em_laco,clone,10000000,138.1,138
resultado,clone_em_laco,emprestimo,10000000,27.1,139
resultado,io_escrita,sem_buffer,2000000,1429.0,2
resultado,io_escrita,buf_writer,2000000,6.9,2
resultado,io_escrita,write_all,2000000,2.6,4
resultado,io_leitura,sem_buffer,2000000,1001.1,4
resultado,io_leitura,buf_reader,2000000,6.2,4
resultado,collect_intermediario,collect,100000000,475.3,1146
resultado,collect_intermediario,fundido,100000000,61.8,383
resultado,vec_inicializacao,macro_vec,500000000,79.4,2
resultado,vec_inicializacao,push,500000000,697.5,479
resultado,vec_inicializacao,resize,500000000,235.0,479
resultado,mapa_entry,duas_buscas,10000000,1298.3,282
resultado,mapa_entry,entry,10000000,1239.9,282
info,encolher,capacidade_antes_mb,1024
info,encolher,capacidade_depois_mb,762
info,encolher,rss_antes_mb,766
info,encolher,rss_depois_mb,765
resultado,encolher,unico,100000000,0.1,765
resultado,soma_matmul,dev,100000000,3721.6,385
resultado,soma_matmul,release,100000000,61.8,385
info,vec_crescimento,capacidade_final,134217728
resultado,vec_crescimento,push,100000000,390.0,765
info,vec_crescimento,capacidade_final,100000000
resultado,vec_crescimento,with_capacity,100000000,402.5,765
info,string_concat,bytes_finais,588890
resultado,string_concat,format_reconstroi,100000,10722.7,3
info,string_concat,bytes_finais,588890
resultado,string_concat,push_str,100000,6.0,3
info,string_concat,bytes_finais,588890
resultado,string_concat,write_capacidade,100000,4.3,2
resultado,produto_escalar,indexado,100000000,75.7,765
resultado,produto_escalar,zip,100000000,82.3,765
resultado,ordenar,sort,50000000,3644.6,574
resultado,ordenar,sort_unstable,50000000,2170.8,383
resultado,mapa_insercao,hashmap_novo,10000000,1653.3,486
resultado,mapa_insercao,hashmap_capacidade,10000000,1315.7,350
resultado,mapa_insercao,btreemap,10000000,6964.3,355
resultado,clone_em_laco,clone,10000000,143.7,139
resultado,clone_em_laco,emprestimo,10000000,26.5,139
resultado,io_escrita,sem_buffer,2000000,1206.6,2
resultado,io_escrita,buf_writer,2000000,7.6,2
resultado,io_escrita,write_all,2000000,2.3,4
resultado,io_leitura,sem_buffer,2000000,947.2,4
resultado,io_leitura,buf_reader,2000000,8.5,4
resultado,collect_intermediario,collect,100000000,340.3,1146
resultado,collect_intermediario,fundido,100000000,56.9,383
resultado,vec_inicializacao,macro_vec,500000000,71.7,2
resultado,vec_inicializacao,push,500000000,1145.7,479
resultado,vec_inicializacao,resize,500000000,316.5,479
resultado,mapa_entry,duas_buscas,10000000,1396.3,282
resultado,mapa_entry,entry,10000000,1209.9,282
info,encolher,capacidade_antes_mb,1024
info,encolher,capacidade_depois_mb,762
info,encolher,rss_antes_mb,765
info,encolher,rss_depois_mb,765
resultado,encolher,unico,100000000,0.1,765
resultado,soma_matmul,dev,100000000,4215.4,385
resultado,soma_matmul,release,100000000,57.4,385
info,vec_crescimento,capacidade_final,134217728
resultado,vec_crescimento,push,100000000,429.9,765
info,vec_crescimento,capacidade_final,100000000
resultado,vec_crescimento,with_capacity,100000000,332.2,765
info,string_concat,bytes_finais,588890
resultado,string_concat,format_reconstroi,100000,11714.1,3
info,string_concat,bytes_finais,588890
resultado,string_concat,push_str,100000,3.2,3
info,string_concat,bytes_finais,588890
resultado,string_concat,write_capacidade,100000,6.2,2
resultado,produto_escalar,indexado,100000000,84.8,765
